id,name,country,sitename,latitude,longitude,collector,collectiondate,CS_number
9228,Del-8,SRB,Deliblato,44.9444,21.1828,James Beck,,
9229,Del-9,SRB,Deliblato,44.9444,21.1828,James Beck,,
9231,Del-11,SRB,Deliblato,44.9444,21.1828,James Beck,,
9232,Del-12,SRB,Deliblato,44.9444,21.1828,James Beck,,
9233,Por-1,SRB,Porodin,43.4092,21.5944,James Beck,,
9234,Por-3,SRB,Porodin,43.4092,21.5944,James Beck,,
9235,Por-4,SRB,Porodin,43.4092,21.5944,James Beck,,
9236,Por-6,SRB,Porodin,43.4092,21.5944,James Beck,,
9237,Por-7,SRB,Porodin,43.4092,21.5944,James Beck,,
9238,Por-9,SRB,Porodin,43.4092,21.5944,James Beck,,
9239,Por-10,SRB,Porodin,43.4092,21.5944,James Beck,,
9240,Por-11,SRB,Porodin,43.4092,21.5944,James Beck,,
9241,Jag-2,CRO,Jagnjedovec,46.0994,16.7992,James Beck,,
9242,Jag-3,CRO,Jagnjedovec,46.0994,16.7992,James Beck,,
9243,Jag-4,CRO,Jagnjedovec,46.0994,16.7992,James Beck,,
9244,Jag-5,CRO,Jagnjedovec,46.0994,16.7992,James Beck,,
9245,Jag-6,CRO,Jagnjedovec,46.0994,16.7992,James Beck,,
9246,Jag-8,CRO,Jagnjedovec,46.0994,16.7992,James Beck,,
9247,Jag-9,CRO,Jagnjedovec,46.0994,16.7992,James Beck,,
9248,Jag-10,CRO,Jagnjedovec,46.0994,16.7992,James Beck,,
9249,Zab-1,CRO,St. Ivan Zabno,45.9578,16.6136,James Beck,,
9250,Zab-2,CRO,St. Ivan Zabno,45.9578,16.6136,James Beck,,
9251,Zab-3,CRO,St. Ivan Zabno,45.9578,16.6136,James Beck,,
9252,Zab-5,CRO,St. Ivan Zabno,45.9578,16.6136,James Beck,,
9253,Zab-7,CRO,St. Ivan Zabno,45.9578,16.6136,James Beck,,
9254,Zab-9,CRO,St. Ivan Zabno,45.9578,16.6136,James Beck,,
9255,Zab-11,CRO,St. Ivan Zabno,45.9578,16.6136,James Beck,,
9256,Zab-13,CRO,St. Ivan Zabno,45.9578,16.6136,James Beck,,
100002,Tanz-1,TZ,Tanzania,-2.87389,36.2128,Maarten Koornneef,,
100004,Faneromeni,GRE,Faneromeni,39.35,21,Maarten Koornneef,,
9939,Aitba-2,MAR,,31.48,-7.45,,1999-12-30 0:00:00,CS76347
9940,Toufl-1,MAR,,31.47,-7.42,,12/30/99,
9941,Fei-0,POR,,40.92,-8.54,,12/30/99,CS76412
9942,Agu-1,ESP,,41.32,-1.34,,12/30/99,CS76409
9943,Cdm-0,ESP,,39.73,-5.74,,12/30/99,CS76410
9944,Don-0,ESP,,36.83,-6.36,,1999-12-30 0:00:00,CS76411
9945,Leo-1,ESP,,41.8,-3.11,,12/30/99,CS76413
9946,Mer-6,ESP,,38.92,-6.34,,12/30/99,CS76414
9947,Ped-0,ESP,,40.74,-3.9,,1999-12-30 0:00:00,CS76415
9948,Pra-6,ESP,,41.05,-3.54,,12/30/99,CS76416
9949,Qui-0,ESP,,42.69,-6.93,,12/30/99,CS76417
9950,Vie-0,ESP,,42.63,0.76,,12/30/99,CS76418
9951,Kly-1,RUS,Kolyvan,51.3333,82.5667,Heike Schmuths,1999-12-30 0:00:00,CS76385
9952,Kly-4,RUS,,51.32,82.55,,12/30/99,CS76384
9953,Koz-2,RUS,,51.33,82.19,,12/30/99,CS76383
9954,Leb-3,RUS,,51.65,80.82,,12/30/99,
9955,Stepn-2,RUS,,54.09,60.46,,12/30/99,CS76377
9956,Stepn-1,RUS,,54.06,60.48,,12/30/99,CS76378
9957,Borsk-2,RUS,,53.04,51.75,,12/30/99,CS76421
9958,Shigu-1,RUS,,53.33,49.48,,12/30/99,CS76375
9959,Shigu-2,RUS,,53.33,49.48,,12/30/99,CS76374
9960,Kidr-1,RUS,,51.31,57.56,,12/30/99,CS76376
9961,Krazo-2,RUS,,53.09,52,,12/30/99,
9962,Galdo-1,ITA,,40.57,15.32,,12/30/99,CS76423
9963,Lago-1,ITA,,39.18,16.26,,12/30/99,CS76367
9964,Mammo-1,ITA,,38.36,16.23,,12/30/99,CS76365
9965,Mammo-2,ITA,,38.38,16.22,,12/30/99,CS76364
9966,Monte-1,ITA,,40.28,15.65,,12/30/99,CS76361
9967,Moran-1,ITA,,39.83,16.17,,12/30/99,
9968,Timpo-1,ITA,,39.27,16.27,,12/30/99,CS76424
9969,Valsi-1,ITA,,40.18,16.45,,12/30/99,CS76425
9970,Altenb-2,ITA,,46.37,11.24,,12/30/99,CS76353
9971,Bozen-1.1,ITA,,46.51,11.33,,12/30/99,CS76357
9972,Bozen-1.2,ITA,,46.51,11.33,,12/30/99,CS76358
9973,Mitterberg-1-181,ITA,,46.36,11.28,,12/30/99,CS76354
9974,Castelfed-4-212,ITA,,46.34,11.29,,12/30/99,CS76355
9975,Castelfed-4-213,ITA,,46.34,11.29,,12/30/99,CS76356
9976,Rovero-1,ITA,,46.25,11.17,,12/30/99,CS76351
9977,Vezzano-2.1,ITA,,46.63,10.82,,12/30/99,
9978,Vezzano-2.2,ITA,,46.63,10.82,,12/30/99,CS76350
9979,Voeran-1,ITA,,46.36,11.23,,12/30/99,CS76352
9980,Angel-1,ITA,,38.62,16.17,,12/30/99,CS76362
9981,Angit-1,ITA,,38.76,16.24,,12/30/99,CS76366
9982,Apost-1,ITA,,39.01,16.47,,12/30/99,CS76368
9983,Ciste-1,ITA,,41.62,12.87,,12/30/99,CS76359
9984,Ciste-2,ITA,,41.62,12.87,,12/30/99,CS76360
9985,Slavi-1,BUL,,41.43,23.65,,12/30/99,CS76419
9986,Jablo-1,BUL,,41.59,25.2,,12/30/99,CS76372
9987,Lecho-1,BUL,,41.43,23.5,,12/30/99,CS76371
9988,Bak-2,GEO,Bakuriani,41.7942,43.4767,James Beck,1999-12-30 0:00:00,CS76392
9989,Bak-7,GEO,Bakuriani,41.7942,43.4767,James Beck,1999-12-30 0:00:00,
9990,Lag2-2,GEO,Lagodechi,41.8296,46.2831,James Beck,1999-12-30 0:00:00,CS76390
9991,Vash-1,GEO,Vashlovani,41.2381,46.3728,James Beck,1999-12-30 0:00:00,CS76391
9992,Dog-4,TUR,Dogruyol,38.3011,42.2239,James Beck,1999-12-30 0:00:00,
9993,Nemrut-1,TUR,Nemrut Mountain,38.6425,42.2394,James Beck,1999-12-30 0:00:00,CS76398
9994,Ey15-2,GER,Eyach,48.43,8.77,,1999-12-30 0:00:00,
9995,HKT2.4,GER,Heiligkreuztal 2,48.14,9.4,,1999-12-30 0:00:00,CS76404
9996,Nie1-2,GER,Niederreutin,48.52,8.8,,1999-12-30 0:00:00,CS76402
9997,Rue3.1-31,GER,Rubgarten - 3,48.56,9.16,,1999-12-30 0:00:00,CS76406
9998,Star-8,GER,Starzach,48.43,8.82,,1999-12-30 0:00:00,CS76400
9999,TueSB30-3,GER,Tubingen - Schonblick 30,48.53,9.06,,1999-12-30 0:00:00,CS76403
10000,Tuescha-9,GER,Tubingen - Schaal,48.53,9.05,,1999-12-30 0:00:00,
10001,TueV-13,GER,Tubingen - Volksbank,48.52,9.05,Kirsten Bomblies,1999-12-30 0:00:00,CS76407
10002,TueWal-2,GER,Tubingen - Wanne,48.53,9.04,Kirsten Bomblies,1999-12-30 0:00:00,CS76405
10003,WalHaesB4,GER,Walddorf-Haslach,48.6,9.19,,1999-12-30 0:00:00,
10004,Bolin-1,ROU,,44.46,25.74,,1999-12-30 0:00:00,CS76373
10005,Copac-1,ROU,,46.11,21.95,,1999-12-30 0:00:00,CS76420
10006,Kastel-1,UKR,Kastel Mountain,44.6419,34.3814,James Beck,1999-12-30 0:00:00,CS76395
10007,Koch-1,UKR,Kocherov,50.3553,29.3244,James Beck,1999-12-30 0:00:00,
10008,Sij-1,UZB,Sijjak,41.45,70.05,Heike Schmuths,1999-12-30 0:00:00,CS76379
10009,Sij-2,UZB,,41.45,70.05,,12/30/99,CS76380
10010,Sij-4,UZB,,41.45,70.05,,12/30/99,CS76381
10011,Yeg-1,ARM,Yeghegis,39.8692,45.3622,James Beck,1999-12-30 0:00:00,CS76394
10012,Istisu-1,AZE,Istisu,38.9786,48.5594,James Beck,1999-12-30 0:00:00,CS76389
10013,Lerik1-3,AZE,Lerik,38.7406,48.6131,James Beck,,CS76388
10014,Xan-1,AZE,Xanbulan,38.6536,48.7992,James Beck,1999-12-30 0:00:00,CS76387
10015,Ara-1,AFG,,37.29,71.3,,1999-12-30 0:00:00,CS76382
10016,Del-10,SRV,Deliblato,44.9444,21.1828,James Beck,1999-12-30 0:00:00,
10017,Petro-1,SRB,,44.34,21.46,,1999-12-30 0:00:00,CS76370
10018,Dobra-1,SRB,,44.84,20.16,,12/30/99,CS76369
10019,KZ10,KAZ,,48.67,54.93,,1999-12-30 0:00:00,
10020,Jl-2,CZE,,49.17,16.5,,1999-12-30 0:00:00,CS76956
10021,Hl-0,GER,Holtensen,52.1444,9.37827,Albert Kranz,1999-12-30 0:00:00,
10022,Uk-3,GER,Umkirch,48.0333,7.7667,Albert Kranz,1999-12-30 0:00:00,CS78777
10023,Strand-1,NOR,Strand,68.8,15.45,,1999-12-30 0:00:00,CS77284
10024,Tnz-1,TZA,,,,,12/30/99,
10025,Bsch-2,GER,Buchschlag/Frankfurt am Main,50.01,8.67,,1999-12-30 0:00:00,
10026,Bg-5,USA,BG,47.6479,-122.305,Juliette Winterer,1999-12-30 0:00:00,
9506,IP-Alo-0,POR,,40.11,-7.47,Carlos Alonso-Blanco,00/01/2007,CS76662
9507,IP-Coa-0,POR,,38.45,-7.5,Carlos Alonso-Blanco,00/01/2005,CS76775
9508,IP-Mos-1,POR,,40.04,-7.11,Carlos Alonso-Blanco,00/01/2007,CS77108
9509,IP-Reg-0,POR,,39.29,-7.4,Carlos Alonso-Blanco,00/01/2005,CS77207
9510,IP-Rei-0,POR,,38.75,-7.59,Carlos Alonso-Blanco,00/01/2005,CS77208
9511,IP-Vav-0,POR,,38.53,-8.02,Carlos Alonso-Blanco,00/01/2005,CS78835
9512,IP-Vid-1,POR,,38.22,-7.84,Carlos Alonso-Blanco,00/01/2005,CS78842
9513,IP-Adc-5,ESP,,38.77,-4.07,Carlos Alonso-Blanco,00/01/2003,CS76646
9514,IP-Adm-0,ESP,,39.15,-4.54,Carlos Alonso-Blanco,00/01/2003,CS76647
9515,IP-Ala-0,ESP,,39.72,-6.89,Carlos Alonso-Blanco,00/01/2007,CS76650
9516,IP-Ali-1,ESP,,39.9,-5.09,Carlos Alonso-Blanco,00/01/2008,
9517,IP-All-0,ESP,,42.19,-7.8,Carlos Alonso-Blanco,00/01/2007,CS76659
9518,IP-Alm-0,ESP,,39.88,-0.36,Carlos Alonso-Blanco,2004-12-31 0:00:00,CS76660
9519,IP-Ang-0,ESP,,41.94,2.64,Xavier Picó,00/01/2005,CS78886
9520,IP-Ara-4,ESP,,41.7,-3.68,Carlos Alonso-Blanco,00/01/2006,CS76670
9521,IP-Bar-1,ESP,,41.43,2.13,Xavier Picó,00/01/2005,CS76689
9522,IP-Bea-0,ESP,,36.52,-5.27,Carlos Alonso-Blanco,00/01/2004,CS76695
9523,IP-Ben-0,ESP,,38.37,-2.66,Carlos Alonso-Blanco,00/01/2005,CS76700
9524,IP-Ber-0,ESP,,42.52,-0.56,Carlos Alonso-Blanco,00/01/2005,CS78887
9525,IP-Bis-0,ESP,,42.49,0.54,Xavier Picó,00/01/2005,CS76711
9526,IP-Cab-3,ESP,,41.54,2.39,Xavier Picó,00/01/2006,CS76738
9527,IP-Cad-0,ESP,,40.37,-5.74,Carlos Alonso-Blanco,00/01/2002,CS76739
9528,IP-Cal-0,ESP,,40.94,-1.37,Carlos Alonso-Blanco,00/01/2004,CS78890
9529,IP-Cap-1,ESP,,36.97,-3.36,Carlos Alonso-Blanco,00/01/2006,CS76741
9530,IP-Car-1,ESP,,38.25,-4.32,Carlos Alonso-Blanco,00/01/2004,CS76742
9531,IP-Cdc-3,ESP,,41.21,-4.54,Carlos Alonso-Blanco,00/01/2004,CS76761
9532,IP-Cdo-0,ESP,,42.23,-4.64,Carlos Alonso-Blanco,00/01/2004,CS76762
9533,IP-Cem-0,ESP,,41.15,-4.32,Carlos Alonso-Blanco,2004-12-31 0:00:00,CS76763
9534,IP-Cmo-3,ESP,,40.05,-4.65,Carlos Alonso-Blanco,00/01/2005,CS76774
9535,IP-Coc-1,ESP,,42.31,3.19,Xavier Picó,00/01/2005,CS76776
9536,IP-Cor-0,ESP,,40.83,-2,Carlos Alonso-Blanco,2004-12-31 0:00:00,CS76782
9537,IP-Cum-1,ESP,,38.07,-6.66,Carlos Alonso-Blanco,00/01/2002,CS76787
9538,IP-Cur-4,ESP,,43.12,-8.09,Carlos Alonso-Blanco,00/01/2004,
9539,IP-Deh-1,ESP,,40.29,-6.67,Carlos Alonso-Blanco,00/01/2005,CS76793
9540,IP-Elb-0,ESP,,41.81,2.34,Xavier Picó,00/01/2005,CS76838
9541,IP-Fue-2,ESP,,38.26,-5.42,Carlos Alonso-Blanco,00/01/2003,CS76871
9542,IP-Fun-0,ESP,,40.79,-4.05,Carlos Alonso-Blanco,2005-12-31 0:00:00,CS76872
9543,IP-Gra-0,ESP,,36.77,-5.39,Xavier Picó,2005-12-31 0:00:00,CS76886
9544,IP-Gua-1,ESP,,39.4,-5.33,Carlos Alonso-Blanco,00/01/2005,CS76894
9545,IP-Her-12,ESP,,39.4,-5.78,Carlos Alonso-Blanco,2004-12-31 0:00:00,CS76920
9546,IP-Hom-4,ESP,,40.82,-1.68,Carlos Alonso-Blanco,00/01/2006,CS76929
9547,IP-Hor-0,ESP,,41.67,2.62,Xavier Picó,00/01/2005,CS76930
9548,IP-Hoy-0,ESP,,40.4,-5,Carlos Alonso-Blanco,00/01/2004,CS76939
9549,IP-Hum-2,ESP,,42.23,-3.69,Carlos Alonso-Blanco,2006-12-31 0:00:00,CS76943
9550,IP-Iso-4,ESP,,43.05,-5.37,Carlos Alonso-Blanco,2006-12-31 0:00:00,CS76946
9551,IP-Jim-1,ESP,,42.28,-5.92,Carlos Alonso-Blanco,00/01/2007,CS76955
9552,IP-Lab-7,ESP,,40.87,-4.5,Carlos Alonso-Blanco,00/01/2007,CS76995
9553,IP-Ldd-0,ESP,,41.58,-4.71,Carlos Alonso-Blanco,00/01/2004,CS77012
9554,IP-Lso-0,ESP,,38.86,-3.16,Carlos Alonso-Blanco,2004-12-31 0:00:00,CS77055
